"species","Id_species","beta_intercept","beta_temp","beta_prec","beta_sais_temp","beta_sais_prec","beta_cwd","beta_temp2","beta_prec2","beta_sais_temp2","beta_sais_prec2","beta_cwd2","lambda_1","lambda_2"
"Voacanga thouarsii",284,-28.9682380884059,129.375694286627,71.1171562839343,114.700765177325,64.2191747927899,36.5470845151796,-140.312084388136,-72.055737555727,-85.9819611042353,-86.4867145393815,18.7762196551434,-5.21323017673352,-3.98908458140796
"Neoapaloxylon madagascariense",285,-46.1878221724886,-7.37575871519027,100.530813143938,39.0439826848795,-49.1091611290593,82.7186708045368,-22.4809882017323,-120.004401797555,-29.9672757817426,26.8223668642383,-14.1821361918534,-0.191208667449146,-2.46319205432991
"Poupartia caffra",286,-40.3723251619203,17.4424433074759,82.6160720654449,-15.1638808567883,20.5161407350568,76.2988449164785,-38.3112494020564,-101.405476378599,25.207826949193,-28.7559959184254,-24.0276244356982,0.386647212230835,2.28816404639239
"Phyllanthus rhomboidalis",287,-41.8483797138525,77.0774192586826,96.1392482440868,133.179181402137,124.769062792486,140.561921603105,-120.576843649999,-105.948991797252,-78.6451566215508,-179.517407936438,-24.5089128231825,2.36663179122513,-1.67127206271884
"Ficus megapoda",288,-12.5268312396065,14.20082346202,9.51087252547766,9.07282152283329,-10.4770466292597,-16.3621224324351,-14.0775477031047,-10.7718521816571,-11.0831600903514,17.1073570823599,1.66716177422728,-0.569181499292502,-0.0250499663539087
"Caesalpinia bonduc",289,-29.3345853836109,115.6794097079,52.4320466424931,67.1660771549194,22.7632482897345,85.0369752484761,-121.879556826408,-48.3839030577714,-42.7877147854375,-33.8426514789522,-63.9209150964168,-2.34986934601637,5.11554016386895
"Micronychia danguyana",290,-21.7650205698877,132.645123815578,26.2471233444032,39.5976196171073,65.6419446987017,39.1370063604268,-139.243298641749,-27.0993599077954,-20.7766420436731,-78.0291806274826,-12.7989520827988,-1.68933593897754,1.18063331384786
"Cassine NA",291,-46.0994640266569,164.485027065061,16.6342904754423,40.0836303394309,216.550282870604,-32.588114266077,-143.327596036534,-11.8045231522132,-26.061698915099,-192.486698120259,22.8134369998184,1.37046203628633,-0.982283441301272
"Perriera madagascariensis",292,-23.6669243593542,48.3192375557297,-3.35473646701385,-28.0504306976334,24.2722397193523,-20.8828451208651,-55.3363406466451,2.87091373928609,26.440299649845,-7.83979900444277,7.61164035407495,5.35731762190296,6.5603184733492
"Asparagus simulans",293,-22.2003671665882,28.1980561791558,25.9603093169081,-10.0783422982459,-18.485308076342,-10.4975998350221,-25.0563168666325,-30.8691520641978,5.50104330622968,29.1604317822773,-14.9913773904546,3.87304132627455,1.68297655863131
"Hernandia voyroni",294,-28.3716749119089,-25.8900006583694,76.9260633554136,-39.7279510034107,65.0782327669627,-22.8986466300426,40.6270729381507,-84.1732980352044,35.0934683737514,-45.2889741863861,-7.19130011235517,-4.74479565117589,0.17895036044314
"Halleria tetragona",295,-46.2427559175391,252.169828395961,71.3416792221892,146.543194424841,-22.7854001769496,111.759587316787,-273.867255714969,-78.6998334433724,-103.862709169598,-2.93137790733558,-41.6118858882666,-0.325282105009284,-0.192687844004942
"Eugenia gossypium",296,-46.7691213466535,147.56552541483,-63.3507326814031,52.9558670086121,72.3039444298917,-10.5745882992871,-183.036911916953,67.5154969955833,-16.6924473032359,-51.7152705087473,33.3744077579878,1.25359254181129,-0.0350342543716032
"Calantica jalberti",297,-6.16912379800203,3.34462039638106,8.89989795801117,8.73645326786271,0.530019191934504,5.79736583793837,-4.89166096613899,-9.80433763082517,-5.05846253998809,0.341833219700403,-5.85134526654133,-0.520691489428348,0.333668844810443
"Xylopia flexuosa",298,-23.2974125203131,-12.2446004494336,-13.5192688505529,-31.3630818535023,-12.2914807103013,-42.8380351203645,23.5507897569366,12.5331906562584,18.2129774234226,32.5910189845153,-15.6969127835304,2.17284760126867,0.939286881537249
"Cadia ellisiana",299,-46.5799074858378,19.1543510991383,22.5199533541863,68.0483850304796,24.9402872019595,48.9480889946093,-25.0049372178419,-19.6852267947232,-54.0233507617039,-16.7637198189817,-61.6742976795585,-2.76114760911659,-5.05019979140519
"Haematodendron NA",300,-54.640319994632,118.861090180122,16.6564314424729,222.868155667351,-48.9379985691148,304.891698041467,-176.396565401529,13.6225568627024,-132.233972357727,13.6189834389729,-179.117056182355,-6.72184244076234,-0.826122849857196
"Hibiscus macrogonus",301,-31.4677845937151,16.3866558358169,9.1328426625014,40.8509648676284,-16.9816136082019,8.56293569963725,-19.0612553436441,-7.9641024601438,-31.597634204493,22.8791034761264,-35.5265022666936,0.426297777019896,-1.57781594941966
"Leea guineensis",302,-51.5082973097001,170.737398102526,70.3654774505735,-56.2275396537743,6.41455391883148,71.1170329549207,-207.362406754115,-81.8354022571572,67.205558923669,5.05426643050305,-34.1759569529406,-2.72946589817171,-2.30673383069978
"Sideroxylon beguei",303,-36.6319881264415,50.298270665818,35.3861814110489,-38.7480240137533,51.0203435124661,-12.6554757565508,-48.8605681465143,-31.3252527731086,49.1020011271326,-13.6411743447983,-24.9178919182182,-6.28039300447889,-1.35985696755425
"Nesogordonia bernieri",304,-29.4718505364866,10.2953800497904,66.9943273229698,37.6773235756809,-9.64918864498331,12.9044195545728,-13.6276291334938,-65.9868435289125,-22.0194243142661,19.0575852540457,-25.7552639614771,-2.64898695226923,-0.0690668640886051
"Tarenna resinosa",305,-35.9387694492887,-66.2382235639604,42.2436100160239,94.9880434009731,-19.732477810317,33.8855584691678,74.3897596083125,-32.5657144691508,-87.9090018418488,20.1063759868249,-47.0972669553093,3.70744626757124,5.93141775032537
"Louvelia albicans",306,-57.6969684412674,-67.5227188875639,65.5655235281213,99.4005546770704,-81.1630456329421,79.3845212685003,51.9952841912259,-65.8790250129949,-100.55391976911,78.2150153690766,-59.2945682515193,-1.48035339725635,1.97206005684699
"Trema orientalis",307,-35.1859296757834,112.856922623834,45.3677348271532,82.0411935279054,-0.205384396499968,-28.2224782623764,-144.423334633741,-45.4982831084445,-83.599634728919,4.37510646414691,61.3352886746639,0.572018517444968,4.26245406861696
"Capurodendron rubrocostatum",308,-18.6151344969437,95.23256056768,95.8619235043177,15.1984792567232,38.3756992014264,25.2665140027033,-98.2403263564079,-92.376056065323,-0.923876878677586,-36.1111631435158,-8.38468810609717,-5.45857519667405,1.95683932538048
"Cerbera NA",309,-49.3765721317345,-132.670254253279,82.6072970389124,115.833357740989,-35.8343487963409,124.044818088281,124.931564881646,-73.2996122342141,-90.4861333635831,10.5228348236056,-73.0581370092141,-0.180126057953304,0.245290535728775
"Phylloxylon ensifolium",310,-47.1374075174779,74.1878264745547,183.403845062329,87.5979334933147,112.452692655154,101.340441709871,-107.303647432409,-199.818198655104,-43.2268955983348,-136.349150845115,-15.1712311291395,-2.80514252315277,0.651638589246594
"Dombeya tremula",311,-51.9314554617229,80.0069581886912,65.8591344828019,187.271366633716,71.721324620302,156.183001445043,-149.89996918514,-49.0305700684849,-96.4454162241898,-93.9786648882065,-13.4016590604556,-2.98644371399301,3.21084872895934
"Strychnos decussata",312,-16.7389281549054,-8.38234975177341,63.3472550484769,28.5254888099654,26.2016875025005,-1.39583883375322,2.68408432038373,-55.6003750345476,-22.3204220223433,-22.3898974842336,13.1026306967974,2.21489517668382,1.53574868417322
"Homalium sanguineum",313,-44.3086330025502,-4.9911615478774,155.101638541529,17.6831411873855,101.886047819887,65.7559164518094,-2.85980893118161,-172.943384298683,-5.11372413375406,-121.396929580667,-30.9654669502451,-5.17021868109947,4.10410365795242
"Grewia sely",314,-35.930962548572,24.9545478615712,119.368770536919,8.42074504827986,96.1350216560992,20.5749865946434,-43.0422075833861,-117.77077429154,15.2306034354019,-80.9164254348139,5.2449848488705,-4.3290651614497,-3.1316593889071
"Sterculia NA",315,-46.2139931268371,75.6366676237638,34.4124920427646,37.661658569592,159.017437812225,83.389950146764,-109.786952249561,-39.6275393762243,-6.39682750656281,-177.862618384341,-28.1505830827835,-2.38859335343468,-1.08772046907623
"Stephanostegia brevis",316,-40.0774961599925,145.425871492442,140.252765271924,189.553910923589,14.0938118836186,94.1387543493117,-180.39708323579,-139.21210626529,-155.056652395155,-45.8871183817795,-11.0393479978016,1.03829317657393,0.425748670718351
"Coffea madagascariensis",317,-33.5201654644773,202.206450314508,109.134970169822,205.547885316242,18.2678528519985,129.912650079256,-256.103471554763,-95.2186796906523,-153.326687630544,-50.1329786334031,-11.0306880421059,-0.100477689118483,0.138415727216736
"Mammea madagascariensis",318,-33.5256087555752,107.258467226317,121.54968987313,41.7263773575677,2.44770477420058,19.7724541462446,-126.257034721017,-119.987511281141,-19.3274745918184,2.40537505913795,-3.56332359623125,-2.5752243099283,-0.884315213567614
"Dicoryphe viticoides",319,-43.2848156684139,262.464298023084,-13.5798839439803,-30.6264325356341,3.9737770103572,-140.613622551232,-287.928600181445,6.29261028780745,20.6393659050765,30.8744977477095,109.939532940167,-1.29448897754842,-1.29276075493665
"Polyscias repanda",320,-35.572920652425,14.312550750001,-9.44387781235153,-72.9337367802946,92.4051867406868,-149.540570210275,-12.5497137550783,0.22585466491054,54.3753487066552,-66.1502379454945,102.551262638448,-3.93171601921708,-0.60697206004031
"Oncostemum NA",321,-16.6517486955528,0.588762138371061,95.6555015023766,15.1996777641995,2.13831609977376,17.5175412763047,-3.12963042424328,-90.2952905316822,-8.26486109070327,-3.86251105952603,-15.9721634773381,-0.446318214323319,0.176478897026865
"Commiphora pterocarpa",322,-52.8575952250131,-151.977691013358,140.782537536924,-59.4269921029685,62.155620261316,-13.3323618281435,174.852360702011,-135.710381330391,48.4872745774265,-27.9895204854419,-31.9777717086086,2.12965832318029,-1.53966013975344
"Dombeya floribunda",323,-31.4901852986795,-67.6816105596406,101.826518035804,-2.92154836010598,-6.10144267610958,-14.7630723258522,84.9686184527007,-99.4047774667728,-4.32960069399696,21.8792484884627,-21.1320739939701,-1.57376482442492,-0.198849501984818
"Chlorophora greveana",324,-43.5538696176395,113.174588296273,94.3774369619034,-10.3961437442812,3.45888599304006,-19.5703501774622,-82.1915904831316,-100.363890872576,1.23556495230565,12.5925994950257,-16.6230188241885,3.65559757262133,0.0245886756965876
"Breonia perrieri",325,-24.7355070613855,-40.8914285993357,10.32178589328,25.9516771003504,61.8161657248004,-79.0071278848686,62.4967704887657,-5.93272807482033,-41.031094217496,-48.4414891291495,42.1514726924743,4.64271234725421,1.94317500325818
"Securinega antsingyensis",326,-43.8155250688503,314.642645995699,197.459124011515,107.911295492002,-17.1153927301749,29.6825460469074,-320.42722874492,-197.059406951681,-108.130433193223,4.52123311662023,14.6722424114807,-0.285009376761123,-6.18166091095933
"Baudouinia rouxevillei",327,-49.2669533626209,68.2425645884251,153.255805797809,67.6042543041304,-24.0536947095322,-11.9239211573257,-69.7227256634927,-155.085951572134,-91.6455013771175,29.5774270229364,6.97309344839062,0.954733627122054,-0.718003248062523
"Manilkara sahafarensis",328,-50.0681318471352,-103.373423556164,161.241419556756,-48.8715503563352,58.2344390780924,-48.253885023275,117.411623453238,-164.390929593357,33.0135637047544,-41.9130990271192,25.3609717887287,1.5334713771842,-2.1199346027473
"Adansonia fony",329,-36.166461216482,228.224624952345,137.650019227326,108.529244710296,-38.8228124086876,32.9082250720185,-262.585283486815,-126.760808174375,-85.9071641531379,32.2436016337031,35.3838429589353,-1.34043628648881,6.5899881296817
"Delonix adansonioides",330,-27.8426045515486,118.298354612621,29.3311976389145,50.998739831601,30.1990553447834,30.4242984645273,-122.273723756334,-25.5390705252507,-53.5016266066438,-29.0562955409011,-5.68393347924874,0.350654476881967,-1.01303126464211
"Diospyros haplostylis",331,-36.3172876964837,61.6187951225004,99.0536336108486,55.5583700955005,15.8621392228457,27.9720945379639,-54.8922035813314,-86.5576536771145,-50.518243783035,-17.0908762313704,-13.3381669110744,7.83985935260648,-3.81951797696055
"Albizia fastigiata",332,-39.0814500962685,14.2563618413052,57.8978971249103,88.9709068295679,-22.8055466977533,-33.3254140450116,3.83074402487074,-49.8902693898533,-96.2905981269355,9.94580804435841,41.0728332461957,-0.964930554287171,0.54707766619263
"Stereospermum variabile",333,-35.1038346222346,-79.7232318543766,82.8971234816801,-54.7983080980489,68.2011143846158,-87.2554651960779,106.623317949665,-81.5309138720858,35.4762010523332,-52.0666254857703,45.4689942736805,-1.98567065600362,-7.12935716598901
"Commiphora guillaumini",334,-40.3596161277896,15.2861640911574,52.8558655238205,130.405853863693,-63.6078483777078,0.690617126343947,-15.6126328706586,-25.1521178345274,-124.758936962747,67.9114615117526,6.6981535429473,-0.785098029340897,2.54168315025729
"Stereospermum arcuatum",335,-40.7531915111381,183.2763755899,58.7176282001096,124.926826365487,34.1296026240382,2.99091059796024,-178.017328487538,-37.3150415530299,-117.556751592205,-27.5157213672748,16.406344736796,0.843658719156352,0.115174531628389
"Terminalia calcicola",336,-38.7684143533069,273.263678052682,38.1551367335668,66.7547470624863,26.9424081825906,-23.4310213812289,-277.187312860592,-29.2400489471074,-50.5698827994616,-15.2341819128148,48.1282172557563,-6.41179118491262,-1.68724218085664
"Albizia greveana",337,-54.1380537086003,-57.9676454283065,128.106126679753,86.9379991438805,15.2366799980234,-12.7170938278347,72.010836599872,-88.4140393452672,-83.7008302483866,-1.87836077140998,3.22884401871804,-4.24172393944396,1.95244143258417
"Givotia madagascariensis",338,-43.7172363629913,164.927797069298,53.0858629479426,16.0992483032775,-35.9628821963647,71.9925268920611,-198.446005393136,-47.9517196246225,5.48938706988614,39.4558361892854,-9.73614863282678,2.05654788158496,0.897484757506747
"Rinorea greveana",339,-50.7333535053825,-10.3887838799497,100.063563001622,66.0157716637304,-77.6718460960944,-54.7893025817039,23.3492488024771,-72.5439101564568,-77.1610230703171,92.0336701787413,16.7137643726266,0.351607018511304,1.7317929474477
"Homalium microphyllum",340,-14.8293070618871,6.54558304410467,-29.5624014411954,-25.7004593557974,-9.16239788533496,-41.2445163082855,0.333355444395912,32.1844870353767,16.123694525127,23.7208320012969,8.5739274948384,3.05575029896681,0.929579540845625
"Commiphora NA",341,-16.8511101210561,128.688358020953,4.57265609339893,5.75893184282294,-11.8831362909628,-0.32373436565746,-119.809586214834,-4.24599970323781,-10.053464070673,11.6484174095247,1.11948485171835,0.63227311143693,0.608110947399315
"Rauvolfia media",342,-39.5909675166799,140.281917641806,-51.375516327739,21.0992724483066,-22.321780658301,10.2882401126141,-169.813592826571,70.4554508210419,-5.18641815470204,44.6628928474635,7.90757720142833,-4.5465835573982,3.21571623402656
"Lovanafia capuroniana",343,-45.7200622133106,125.635134161337,-15.1564206088188,18.4652281093154,-90.8700306884801,22.7563296723826,-130.432430949944,40.0114317788448,-7.14278310062747,98.3944472138101,-16.2434226866346,0.234876706719654,3.36006084929612
"Colvillea racemosa",344,-40.5456887319731,183.986332936625,48.3922907189438,-4.30299491114976,-47.3250247995229,-52.5671087184283,-204.566529402731,-54.5719869188047,-13.7237508744111,51.6044460219783,59.593793480232,1.02033059279551,4.4824405864931
"Mimosa delicatula",345,-38.4136284718431,83.3041506575415,152.389291636251,-40.220063652797,38.9588223826573,-33.5704477780339,-82.6016322289579,-135.876750087407,36.4459139146642,-18.1242844851388,16.2730151203438,1.24398467399521,0.706079412121614
"Salvadora angustifolia",346,-34.6676481900836,172.135406611138,-21.7736094170219,-20.3466014808787,-29.5123036895533,-23.0199295413856,-199.011049731986,24.9602662074766,28.0587694324536,47.1807663496418,35.4303198445019,-2.7755498686675,1.77922915899308
"Zanha suaveolens",347,-37.26954069504,28.927156326138,43.4122002886626,-15.8872612691352,41.6039340603338,-70.9142871332762,6.82577865648668,-39.9137727974469,-16.7125135448507,-36.5108263630975,29.8811045931843,2.33215643897679,-6.03695012200457
"Adansonia grandidieri",348,-36.7836712214756,295.268189664197,65.4568699930229,-21.4568705842741,-23.1649794596145,-13.1655194779638,-291.213518994828,-71.569313705617,8.60412168922488,25.9767548900337,13.7437282505045,-1.42395141658833,-3.4393865003309
